private_entity,external_uri,confidence,description,wikidata_id,wikidata_label
Univ of California Press,,0.0,,,
Sbeinati,,0.0,,,
Darawcheh R.,,0.0,,,
Mouty M,,0.0,,,
1365 B.C. to 1900 A.D.,,0.0,,,
Annals of Geophysics,,0.0,,,
Ikamalebanon.com,,0.0,,,
5 May 2009,,0.0,,,
Dominic,,0.0,,,
DHF Druze Heritage Foundation,,0.0,,,
Charles William,,0.0,,,
David George,,0.0,,,
Encyclopædia Britannica.,,0.0,,,
Moshe Sharon,,0.0,,,
Edwin E.,,0.0,,,
Prehistoric Times to the Present,,0.0,,,
"McFarland, Incorporated",,0.0,,,
8 July 2023,,0.0,,,
Fırat,,0.0,,,
MÜSLÜMAN SEYYAHLARIN GÖZÜYLE BEYRUT ŞEHRİ,,0.0,,,
1890-1914,,0.0,,,
Sinop Üniversitesi Sosyal Bilimler Dergisi,,0.0,,,
11 October 2022,,0.0,,,
International Journal of Middle East Studies,,0.0,,,
Nov. 1984,,0.0,,,
Hill,,0.0,,,
Blecher,,0.0,,,
1861-1936,,0.0,,,
Stanford University,,0.0,,,
30 July 2022,,0.0,,,
6 January 2009,,0.0,,,
Schayegh,,0.0,,,
Cyrus,,0.0,,,
Mass.,,0.0,,,
1 January 2017,,0.0,,,
BiblioBazaar,,0.0,,,
The Independent,,0.0,,,
josephhokayem,,0.0,,,
30 August 2017,,0.0,,,
CDI Terrorism Project,,0.0,,,
2 April 2012,,0.0,,,
6 October 2001,,0.0,,,
lebaneseforces.com,,0.0,,,
Sfeir,,0.0,,,
Le cas libanais,,0.0,,,
9 October 2022,,0.0,,,
LGIC,,0.0,,,
The Winds of Change,,0.0,,,
27 March 2022,,0.0,,,
22 November 2007,,0.0,,,
CNN International,,0.0,,,
10 October 2016,,0.0,,,
2 December 2008,,0.0,,,
18 December 2016,,0.0,,,
21 May 2008,,0.0,,,
Wissam al-Hasan,,0.0,,,
Ashrafiyeh,,0.0,,,
17 November 2015,,0.0,,,
20 October 2012,,0.0,,,
5 October 2018,,0.0,,,
CNN,,0.0,,,
28 December 2013,,0.0,,,
