private_entity,external_uri,confidence,description,wikidata_id,wikidata_label
Aldus Manutius,http://www.wikidata.org/entity/Q213220,1.0,Italian printer and humanist (1449-1515),Q213220,Aldus Manutius
15th century,http://www.wikidata.org/entity/Q7018,1.0,century,Q7018,15th century
Venice,http://www.wikidata.org/entity/Q773853,1.0,"beachfront neighborhood in Los Angeles, California, USA",Q773853,Venice
the Seleucid Empire,,0.0,,,
Tigranes,http://www.wikidata.org/entity/Q4457116,1.0,Wikimedia disambiguation page,Q4457116,Tigranes
the Kingdom of Armenia,,0.0,,,
Armenia,http://www.wikidata.org/entity/Q399,1.0,sovereign state in the South Caucasus region of Eurasia,Q399,Armenia
Syria,http://www.wikidata.org/entity/Q858,1.0,country in West Asia,Q858,Syria
Pompey,http://www.wikidata.org/entity/Q212966,1.0,"commune in Meurthe-et-Moselle, France",Q212966,Pompey
64 BC,http://www.wikidata.org/entity/Q41887,1.0,year,Q41887,64 BC
the Roman Empire,http://www.wikidata.org/entity/Q67320810,1.0,book by Paul Veyne published at 1997,Q67320810,The Roman Empire
the 1st century BC,,0.0,,,
the Bekaa Valley,,0.0,,,
Rome,http://www.wikidata.org/entity/Q220,1.0,capital and largest city of Italy,Q220,Rome
Claudius,http://www.wikidata.org/entity/Q19869364,1.0,male given name,Q19869364,Claudius
Heliopolis,http://www.wikidata.org/entity/Q2739389,1.0,Cairo suburb,Q2739389,Heliopolis
Baalbek,http://www.wikidata.org/entity/Q178835,1.0,"city in Baalbek-Hermel, Lebanon",Q178835,Baalbek
14 BC,http://www.wikidata.org/entity/Q39685,1.0,year,Q39685,14 BC
Herod the Great,http://www.wikidata.org/entity/Q51672,1.0,king of Judea from 37/6 BCE to 4/1 BCE,Q51672,Herod the Great
the Roman Empire.[39,,0.0,,,
Augustus,http://www.wikidata.org/entity/Q770041,1.0,male given name,Q770041,Augustus
Papinian,http://www.wikidata.org/entity/Q315765,1.0,Roman jurist (142–212),Q315765,Papinian
Ulpian,http://www.wikidata.org/entity/Q310076,1.0,early 3rd century Roman jurist,Q310076,Ulpian
Sozomen,http://www.wikidata.org/entity/Q354350,1.0,Byzantine historian,Q354350,Sozomen
between 400 and 402.[42,,0.0,,,
Justinian,http://www.wikidata.org/entity/Q20743259,1.0,male given name,Q20743259,Justinian
the 6th century,,0.0,,,
AD 533,,0.0,,,
551,http://www.wikidata.org/entity/Q851173,1.0,natural number,Q851173,551
Acre,http://www.wikidata.org/entity/Q40780,1.0,state in the North Region of Brazil,Q40780,Acre
Israel,http://www.wikidata.org/entity/Q801,1.0,country in West Asia,Q801,Israel
the Middle Ages,http://www.wikidata.org/entity/Q60998223,1.0,play written by A. R. Gurney Jr.,Q60998223,The middle ages
1110 to 1291,,0.0,,,
the Kingdom of Jerusalem,,0.0,,,
Saladin,http://www.wikidata.org/entity/Q37447175,1.0,family name,Q37447175,Saladin
1187,http://www.wikidata.org/entity/Q12681260,1.0,natural number,Q12681260,1187
1197,,0.0,,,
Henry I,http://www.wikidata.org/entity/Q367571,1.0,"921–955, Duke of Bavaria",Q367571,Henry I
Brabant,,0.0,,,
Ibelin,http://www.wikidata.org/entity/Q1142429,1.0,noble family,Q1142429,Ibelin
the Old Lord,,0.0,,,
1204,http://www.wikidata.org/entity/Q12681272,1.0,natural number,Q12681272,1204
1291,http://www.wikidata.org/entity/Q12681316,1.0,natural number,Q12681316,1291
Mamluk,,0.0,,,
al-Ashraf Khalil,http://www.wikidata.org/entity/Q392815,1.0,Sultan of Egypt and Syria (r. 1290–1293),Q392815,Al-Ashraf Khalil
Selim I,,0.0,,,
Fakhr-al-Din II,http://www.wikidata.org/entity/Q579354,1.0,Lebanese prince,Q579354,Fakhr-al-Din II
the 17th century,,0.0,,,
