entity,label,source_url,title
Hezbollah,ORG,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
IDF,ORG,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
13 July 2006,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Eastern Lebanon.[79,LOC,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
May 2008,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Lebanese Army.[80,ORG,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Doha,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Prince of Qatar,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
19 October 2012,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Wissam al-Hassan,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Intelligence Bureau,ORG,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Internal Security Forces,ORG,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
27 December 2013,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Central District,LOC,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
U.S.,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Mohamad Chatah,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
12 November 2015,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
The Islamic State of Iraq and the Levant,ORG,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
4 August 2020,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
8 August 2020,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
4 August,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
10 August 2020,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Hassan Diab,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Weeks later,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
10 September 2020.[92,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Mediterranean Sea.[93,LOC,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Lebanon Mountains,LOC,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Ashrafieh,LOC,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Al-Musaytibah,LOC,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
The Beirut Governorate,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
hot-summer,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Csa,LOC,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
days,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Autumn,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
spring,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Winter,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Summer,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
October,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
April,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
many days,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
July 2015,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
March 2016,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
months,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Badaro,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Medawar,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Mar Mikhaël,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Ramlet al-Baida,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Bourj el-Barajneh,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Shatila,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Mar Elias.[100,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Chiyah,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Ghobeiry,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Bir Hassan,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Jnah,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Ouzai,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Haret Hreik,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Burj al Barajneh,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
